FGM,FGP,FGN,GCO,FGG,NOD,FSN,FNN,CGB,FIN,DGR,CGR,NSD,DPQ,DCN,DOR,DIN,CPS,NPA,BAT,FGC,GBC,IBC,CCN,DNN,FGT,DGP,TCL,TPL,TSL,TAD,TSP,TDL,HMP,AST,FFS,FSP,ADI,ADR,AER,ARR,NPP,NOC,NOO,NM1,NM2,NOA,GCN,GFN,GAL,GUN,GFS,GFR,GFO,GPR,EZ1,EZ2,EZ3,DMP,DMG,HGI,GSI,GST,GEI,NGO,NOE,AFM,ACM,DOA,ACP,NCL,APO,AGE,PDC,ACL,TDD,EM1,PGO,AGS,DPN,NTD,OKP,FVP
D,+,+,+,0,+,-,+,+,-,0,+,+,-,-,-,-,-,+,0,0,-,0,0,0,0,-,0,0,+,+,0,+,-,-,+,+,-,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,+,+,-,-,-,0,0,0,-,0,0,+,0,-,-,0,+,-,+,-,0,0,-,0,0,0,-,0,+,0
Da,+,+,+,0,+,-,+,+,-,0,+,+,-,-,+,-,-,+,0,0,-,0,0,0,0,-,0,0,+,+,0,+,-,-,+,+,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,-,+,-,-,-,-,0,0,-,0,0,0,-,0,0,-,+,-,-,0,0,0,-,0,-,0,-,0,?,0
Ice,+,+,+,0,+,-,+,+,-,0,+,-,-,-,+,-,-,+,0,0,-,0,0,0,0,-,0,0,+,+,0,+,-,-,+,+,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,-,+,+,+,-,-,-,+,-,0,-,0,0,+,0,-,-,0,+,-,-,0,+,0,-,0,0,0,-,0,?,0
Nor,+,+,+,0,+,-,+,+,-,0,+,+,-,-,+,-,-,+,0,0,-,0,0,0,0,-,0,0,+,+,0,+,-,-,+,+,+,+,+,0,-,-,-,-,-,-,-,-,0,-,-,+,+,-,+,-,-,-,+,-,0,-,0,0,0,-,0,0,+,+,-,-,0,0,0,-,0,-,0,-,0,?,0
Blg,+,+,+,0,+,-,+,+,-,0,+,-,+,-,+,-,-,+,0,0,-,0,0,0,0,-,0,0,+,-,+,+,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,0,+,-,+,-,-,-,+,-,0,-,0,0,0,+,0,0,-,-,-,+,+,-,0,-,0,0,0,0,0,-,-
SC,+,+,+,0,+,-,+,+,-,0,-,0,0,-,0,0,-,+,0,0,-,0,0,0,0,-,-,0,+,-,+,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,-,-,0,0,0,-,0,0,+,0,-,-,0,+,-,+,+,0,0,-,0,0,0,0,0,0,0
Slo,+,+,+,0,+,-,+,+,-,0,-,0,0,-,0,0,-,+,0,0,-,0,0,0,0,-,-,0,+,-,+,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,-,-,0,0,0,-,0,0,+,0,-,-,0,-,-,+,+,0,0,-,0,0,0,0,0,0,0
Po,+,+,+,0,+,-,+,+,-,0,-,0,0,-,0,0,-,+,0,0,-,0,0,0,0,-,-,0,+,-,+,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,-,-,0,0,0,-,0,0,+,0,-,+,0,-,-,+,-,0,0,-,0,0,0,0,0,0,0
Rus,+,+,+,0,+,-,+,+,-,0,-,0,0,-,0,0,-,+,0,0,-,0,0,0,0,-,-,0,+,-,+,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,-,-,-,+,+,-,-,-,0,0,0,-,0,0,+,0,-,+,0,-,-,+,+,0,0,-,0,0,0,0,0,0,0
Ir,+,+,+,0,+,-,+,+,-,0,+,-,-,-,-,-,-,+,0,0,-,0,0,0,0,-,0,0,-,0,+,-,0,-,+,+,-,-,+,0,-,-,-,-,+,0,0,-,0,-,-,-,+,+,+,-,-,-,0,0,0,-,0,0,0,0,0,0,0,0,-,-,0,+,0,?,-,0,0,-,0,?,0
